RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
Hutchinson,KS,Hutchinson,Reno County,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672268908,0.685307018,0.710526316,0.710526316,0.634677419,0.636943794,0.635714286,0.68380744,0.685307018,0.693946188,0.692338513,0.717139344,0.659013605,0.695,0.668539326,0.672487745,0.680338542
Tigard,OR,Portland-Vancouver-Hillsboro,Washington County,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.422991071,1.487523992,1.433645261,1.497658352,1.493209877,1.561401914,1.595744681,1.682692308,1.617132867,1.573626374,1.542832168,1.530936561,1.523529412,1.543881937,1.547484419,1.547126437,1.520689655,1.464705882,1.548269581,1.565587419,1.530343327,1.45326087
Kailua,HI,Urban Honolulu,Honolulu County,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71950272,2.787878788,2.71270037,2.648305085,2.697095436,2.714617901,2.751196172,2.708152245,2.630741716,2.607788911,2.71270037,2.754940711,2.738636364,2.648305085,2.747924649,2.802058718,2.787456446,2.738636364,2.641277641,2.616759996,2.593360996,2.707853303
North Bethesda,MD,Washington-Arlington-Alexandria,Montgomery County,696,,,,,,,,,,,,,,,,,,,,,,2.010556678,1.947380511,1.870598592,1.888204225,1.952469711,1.978891821,1.953832753,1.985088537,1.952469711,1.976604679,1.982543641,1.937882602,1.913764554,1.94502815,1.890148831,1.920889156,1.959724951,1.963414634,1.931950436,1.917326297,1.928267753,1.732404419,1.700972423,1.784962406,1.772207564,1.711229947,1.760209614,1.764741945,1.7925,1.804222649,1.986263736,1.902610442,1.886569873,1.88919339,1.840159995,1.781538153,1.753955993,1.762452107,1.732193616,1.796375921,1.778656126,1.902933034,1.93978936,1.943472911,1.948504983,1.968569065,1.948148074,1.87076077,1.879959308,1.87792472,1.957641196,1.920965971,1.89249767,1.907511783,1.684042553,1.909255898,1.875,1.86407767,1.794449263,1.795316565,1.883237918,1.857918399,1.808492507,1.834302223,1.948818898,1.944497608,1.958318806,1.958105647,1.942567568,1.941174892,1.927264317,1.925241158,1.883229807,1.883064516,1.876067416,1.908844833,1.886970173,1.91399817,1.969522241,1.969625985,1.922259156,1.931818182,1.965669014,1.935,1.97504349
Urbana,IL,Champaign-Urbana,Champaign County,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.017906007,1.000650195,0.95,0.886479592,0.85625,0.838256505,0.837053571,0.888888889,0.944723618,0.944444444,0.944444444,0.973505435,1.047368421,1.033396573,0.979646986,0.932145833,0.928571429,0.886479592,0.919565864,0.939403378,0.963586087
Grapevine,TX,Dallas-Fort Worth-Arlington,Tarrant County,698,,,,,,,,,,,,,,,,,,,,,1.024359352,1.113928761,1.087570621,1.100877193,1.087570621,1.108811802,0.99291651,1.152410673,1.174662056,1.132297552,1.125235405,1.125235405,1.148391742,1.186432638,1.185268567,1.15819209,1.155615961,1.15819209,1.125235405,1.158280922,1.20894239,1.249094203,1.211287856,1.107007576,1.148601399,1.226788866,1.150435168,1.279683377,1.277419772,1.267067624,1.279683377,1.275114166,1.284703447,1.266364298,1.328066914,1.311004785,1.257861635,1.20541958,1.244019139,1.226920446,1.204787234,1.338486574,1.346153846,1.370967742,1.375358509,1.391523214,1.355334539,1.352033211,1.339727977,1.368263473,1.38765653,1.370967742,1.428119349,1.414055885,1.418625678,1.382985658,1.449304219,1.394021739,1.440917108,1.552028219,1.453213995,1.453213995,1.40307971,1.403456748,1.393722623,1.405470636,1.431637758,1.471281431,1.492921493,1.535986452,1.530906012,1.502621521,1.51627907,1.623270952,1.682262002,1.574517142,1.614722753,1.538800705,1.522140221,1.544186047,1.537383178,1.518387386,1.512869268,1.676691729,1.653272845,1.614600383
Cathedral City,CA,Riverside-San Bernardino-Ontario,Riverside County,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271361956,1.257096513,1.193548387,1.283382556,1.290411622,1.31166398,1.327906772,1.348474095,1.308918117,1.295990566,1.349135559,1.398514851,1.315495655,1.314984709,1.314984709,1.520118893,1.523529412
Troy,NY,Albany-Schenectady-Troy,Rensselaer County,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05344694,1.05344694,1.065715395,1.072607261,1.051020408,1.023046092,0.977106127,1,0.99375,1.023046092,1.003933137,1.023046092,1.047368421,1.053095975,1.155,1.148928571,1.191785714,1.12622449,1.092307692,1.071428571,1.072017916,1.083103131,1.069047619
Palm Springs,CA,Riverside-San Bernardino-Ontario,Riverside County,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.549463647,1.483879199,1.481481481,1.665400555,1.759755164,1.728256812,1.757070565,1.930147059,1.800450113,1.489280434,1.511070111,1.439285714,1.405806253,1.475159511,1.547303271,1.478560867,1.485165207,1.579261025,1.632897894,1.573329572,1.542089985,1.567398119,1.558644068,1.475138144,1.42921147,1.403061224,1.309635173,1.476190476,1.416666667,1.534521201,1.332720588,1.41723356,1.455180442,1.478560867,1.523076923,1.552917164,1.550106433,1.47963856,1.5,1.533905986,1.504140971,1.615849248,1.725222406,1.765625,1.75315568,1.580352705,1.580896538,1.582532051,1.579261025,1.53868472,1.632882883,1.725377426,1.717342342,1.788554666
Edmonds,WA,Seattle-Tacoma-Bellevue,Snohomish County,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.512160265,1.618037975,1.650843882,1.721479959,1.714602139,1.826375712,1.652892562,1.852140871,1.845991561,1.842600228,1.812236287,1.744318182,1.757501313,1.708860759,1.708860759,1.780167264,1.747141693,1.780590717,1.75,1.75879397,1.843297101,1.793248945,1.766877637,1.740506329
Aliso Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange County,703,,,,,,,,,,,,1.581156716,1.633341287,1.692296986,1.623190763,1.607298002,1.675006822,1.686507937,1.668129939,1.686507937,1.652892562,1.666666667,1.644156231,1.647286822,1.596363636,1.599821747,1.682194617,1.693771914,1.709796673,1.709796673,1.682194617,1.643772894,1.697757855,1.718045113,1.702200855,1.665451231,1.697348288,1.686152801,1.688948307,1.687388988,1.709090909,1.693726937,1.737472767,1.762295082,1.763063791,1.769301471,1.757920881,1.73859127,1.761814264,1.761814264,1.75,1.801470588,1.823314643,1.833333333,1.762979164,1.795332136,1.851851852,1.844119694,1.84912854,1.868318123,1.833333333,1.907712999,1.938609314,1.975821932,1.944458721,1.95715588,1.95715588,1.921956666,1.91505231,1.955059142,1.957806324,1.950389105,1.947673488,1.988326848,2.003371886,2.060206079,1.997081712,1.970416589,1.926163724,2.007079804,1.981578851,1.972082819,1.992882562,2.040816327,2.059824903,2.106031128,2.17209597,2.203660385,2.16146789,2.169507991,2.182273233,2.189420225,2.148273936,2.102140078,2.14797136,2.147690859,2.179717801,2.170642202,2.17575188,2.079689018,2.072874494,2.091105023,2.068018725,2.071321469,2.102663866,2.085020243
Revere,MA,Boston-Cambridge-Newton,Suffolk County,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.774038462,1.879069767,1.922115385,1.94255112,1.980172414,1.932232841,1.99247413,2.052884615,2.074911047,2.114423077,2.055555556,2.121470302,2.168696156,2.105263158,2.19375,2.11996337,2.081362346,1.950549451,2,2.120446801,2.143518519,2.277955287,2.4
Milford,CT,New Haven-Milford,New Haven County,705,,,,,,,,,,,,,,,,,,,,1.515151515,1.406837406,1.375,1.327777778,1.327777778,1.385324213,1.454545455,1.457322006,1.376518219,1.349948079,1.385041551,1.401923077,1.465656566,1.421863989,1.376782627,1.477649007,1.48895293,1.503759398,1.506024096,1.526315789,1.426179949,1.452272727,1.460674157,1.415594247,1.482145217,1.453790239,1.46064774,1.5,1.5,1.5,1.5,1.5,1.491800862,1.563852814,1.4574146,1.505711319,1.387473226,1.385041551,1.373236677,1.369497361,1.468746609,1.471949277,1.474313447,1.468421053,1.5,1.469072165,1.560470779,1.511535402,1.506686106,1.513157895,1.572847682,1.505711319,1.502855659,1.572164948,1.575556158,1.623740202,1.630039905,1.532452707,1.61875,1.569214894,1.524390244,1.538352362,1.564427658,1.528758741,1.601821192,1.578947368,1.597869507,1.600261267,1.688075765,1.666666667,1.534883721,1.50060024,1.50030012,1.530856362,1.568627451,1.574813998,1.597893432,1.614832536,1.61831041,1.668046358,1.666666667,1.666666667,1.638538206,1.604978355,1.590909091,1.568627451,1.570680628
Cerritos,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.700657895,2.702913762,2.705169628,2.582789405,2.701179556,2.701179556,2.707847972,2.689909696,2.620018043,2.628289474,2.585526316,2.645669291,2.580052493,2.651793526
Pinellas Park,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.260416667,1.218123496,1.122009828,1.188051323,1.131034483,1.212510024,1.13369906,1.153846154,1.235765838,1.227548318,1.332532051,1.337740385,1.162289953,1.30406291,1.231842135,1.295673077,1.268223336
Diamond Bar,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.776985148,1.82012848,1.711983887,1.700251889,1.855533466,1.813600756,1.858276316,1.967647059,1.970403152,1.941176471,2.001908397,1.931861901,1.931861901,1.900428266,1.911468813,1.886388607,1.944044518,1.941747573,1.896733404,2.001908397,2.10184182,2.085590466,2.083333333,2.087757313,2.085781434,2.117647059,2.097409408
Martinez,CA,San Francisco-Oakland-Hayward,Contra Costa County,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.312620586,2.335164835,2.247191011,2.216666667,2.3125,2.110244989,2.119815668,2.192387578,2.231372549,2.263374486,2.202455554,2.247191011,2.328767123,2.4836173,2.235179786,2.221603563,2.306805075
